userID,actorID
frankanunoby10,nm0000129
evevanvleet53,nm3109964
frankwatanabe18,nm0647634
bobanunoby13,nm0000174
bobwatanabe67,nm0272581
aliceanunoby46,nm0941777
charliewatanabe59,nm0451600
danwatanabe18,nm1078479
alicesiakam11,nm2577076
charliesiakam85,nm0169806
franksiakam61,nm1093951
alicesiakam11,nm0000658
alicesiakam11,nm0430809
bobvanvleet73,nm0005351
bobanunoby13,nm0504897
bobwatanabe67,nm1078479
charliewatanabe59,nm0010736
dananunoby76,nm0757855
alicebarnes94,nm1176985
charlieanunoby10,nm3918035
bobvanvleet73,nm1078479
evewatanabe70,nm0000138
frankvanvleet88,nm1092086
franksiakam61,nm0000288
danbarnes89,nm0147147
danwatanabe18,nm0941777
franksiakam61,nm2110418
frankbarnes27,nm0005028
bobsiakam82,nm0000129
dansiakam52,nm1428821
