actorID,actorName
nm0000209,Tim Robbins
nm0000151,Morgan Freeman
nm0348409,Bob Gunton
nm0006669,William Sadler
nm0000288,Christian Bale
nm0005132,Heath Ledger
nm0001173,Aaron Eckhart
nm0000323,Michael Caine
nm0000138,Leonardo DiCaprio
nm0330687,Joseph Gordon-Levitt
nm0680983,Elliot Page
nm0913822,Ken Watanabe
nm0000093,Brad Pitt
nm0001570,Edward Norton
nm0001533,Meat Loaf
nm0340260,Zach Grenier
nm0000158,Tom Hanks
nm0000705,Robin Wright
nm0000641,Gary Sinise
nm0000398,Sally Field
nm0000237,John Travolta
nm0000235,Uma Thurman
nm0000168,Samuel L. Jackson
nm0000246,Bruce Willis
nm0000206,Keanu Reeves
nm0000401,Laurence Fishburne
nm0005251,Carrie-Anne Moss
nm0915989,Hugo Weaving
nm0000704,Elijah Wood
nm0005212,Ian McKellen
nm0089217,Orlando Bloom
nm0000293,Sean Bean
nm0000190,Matthew McConaughey
nm0004266,Anne Hathaway
nm1567113,Jessica Chastain
nm3237775,Mackenzie Foy
nm0001557,Viggo Mortensen
nm0362766,Tom Hardy
nm0000198,Gary Oldman
nm0000228,Kevin Spacey
nm0001825,Andrew Kevin Walker
nm0004937,Jamie Foxx
nm0910607,Christoph Waltz
nm0913488,Kerry Washington
nm0000128,Russell Crowe
nm0001618,Joaquin Phoenix
nm0001567,Connie Nielsen
nm0001657,Oliver Reed
nm0000553,Liam Neeson
nm1208167,Diane Kruger
nm0744834,Eli Roth
nm0491259,Mélanie Laurent
nm0000149,Jodie Foster
nm0000164,Anthony Hopkins
nm0095029,Lawrence A. Bonney
nm0501435,Kasi Lemmons
nm1706767,Jonah Hill
nm3053338,Margot Robbie
nm0000354,Matt Damon
nm0001744,Tom Sizemore
nm0122653,Edward Burns
nm0000375,Robert Downey Jr.
nm0262635,Chris Evans
nm0424060,Scarlett Johansson
nm0719637,Jeremy Renner
nm0000146,Ralph Fiennes
nm0001426,Ben Kingsley
nm0328751,Caroline Goodall
nm0413168,Hugh Jackman
nm0607865,Emily Mortimer
nm0749263,Mark Ruffalo
nm0000134,Robert De Niro
nm5939164,Zazie Beetz
nm0175814,Frances Conroy
nm0000197,Jack Nicholson
nm0000242,Mark Wahlberg
nm0941777,Sam Worthington
nm0757855,Zoe Saldana
nm0000244,Sigourney Weaver
nm0735442,Michelle Rodriguez
nm0003817,Michael Clarke Duncan
nm0001556,David Morse
nm0001372,Bonnie Hunt
nm0001602,Guy Pearce
nm0001592,Joe Pantoliano
nm0095478,Mark Boone Junior
nm0695435,Chris Pratt
nm0004874,Vin Diesel
nm0177896,Bradley Cooper
nm0000701,Kate Winslet
nm0000708,Billy Zane
nm0000870,Kathy Bates
nm0000501,Ray Liotta
nm0000582,Joe Pesci
nm0000966,Lorraine Bracco
nm0000606,Jean Reno
nm0000204,Natalie Portman
nm0000732,Danny Aiello
nm1165110,Chris Hemsworth
nm0000906,Annette Bening
nm0000301,Thora Birch
nm0004747,Wes Bentley
nm0000136,Johnny Depp
nm0001691,Geoffrey Rush
nm0461136,Keira Knightley
nm0123785,Ben Burtt
nm2264184,Elissa Knight
nm0307531,Jeff Garlin
nm0929609,Fred Willard
nm0000411,Edward Furlong
nm0000350,Beverly D'Angelo
nm0000497,Jennifer Lien
nm0001016,David Carradine
nm0000435,Daryl Hannah
nm0000514,Michael Madsen
nm0001291,Rupert Graves
nm0001653,Stephen Rea
nm0000216,Arnold Schwarzenegger
nm0000157,Linda Hamilton
nm0001598,Robert Patrick
nm0000120,Jim Carrey
nm0000438,Ed Harris
nm0001473,Laura Linney
nm0001187,Noah Emmerich
nm0000321,Gabriel Byrne
nm0001590,Chazz Palminteri
nm0000286,Stephen Baldwin
nm0000111,Matthew Broderick
nm0000460,Jeremy Irons
nm0000469,James Earl Jones
nm0000155,Whoopi Goldberg
nm0000569,Gwyneth Paltrow
nm0005024,Terrence Howard
nm0000313,Jeff Bridges
nm0000799,Edward Asner
nm2973712,Jordan Nagai
nm0001652,John Ratzenberger
nm0001626,Christopher Plummer
nm0005351,Ryan Reynolds
nm1072555,Morena Baccarin
nm2554352,T.J. Miller
nm4534098,Ed Skrein
nm0000983,Albert Brooks
nm0001122,Ellen DeGeneres
nm1071252,Alexander Gould
nm0000353,Willem Dafoe
nm0000154,Mel Gibson
nm0000521,Sophie Marceau
nm0001526,Patrick McGoohan
nm0005171,Angus Macfadyen
nm0000172,Harvey Keitel
nm0000619,Tim Roth
nm0001606,Chris Penn
nm0929489,Tom Wilkinson
nm0004423,Gerry Robert Byrne
nm0000234,Charlize Theron
nm0396558,Nicholas Hoult
nm2368789,Zoë Kravitz
nm0000686,Christopher Walken
nm0000640,Martin Sheen
nm0000741,Tim Allen
nm0725543,Don Rickles
nm0001815,Jim Varney
nm0000554,Sam Neill
nm0000368,Laura Dern
nm0000156,Jeff Goldblum
nm0000277,Richard Attenborough
nm0005286,Haley Joel Osment
nm0001057,Toni Collette
nm0931404,Olivia Williams
nm0000255,Ben Affleck
nm0683253,Rosamund Pike
nm0000439,Neil Patrick Harris
nm1347153,Tyler Perry
nm0000245,Robin Williams
nm0001745,Stellan Skarsgård
nm0000169,Tommy Lee Jones
nm0000849,Javier Bardem
nm0000982,Josh Brolin
nm0000437,Woody Harrelson
nm0000124,Jennifer Connelly
nm2225369,Jennifer Lawrence
nm1242688,Josh Hutcherson
nm2955013,Liam Hemsworth
nm0001804,Stanley Tucci
nm5397459,Daisy Ridley
nm3915784,John Boyega
nm1209966,Oscar Isaac
nm1727304,Domhnall Gleeson
nm0000345,Billy Crystal
nm0000422,John Goodman
nm0316701,Mary Gibbs
nm0000114,Steve Buscemi
nm1886602,Miles Teller
nm0799777,J.K. Simmons
nm2552034,Melissa Benoist
nm0001663,Paul Reiser
nm0705356,Daniel Radcliffe
nm0914612,Emma Watson
nm0342488,Rupert Grint
nm0002091,Michael Gambon
nm0167388,François Cluzet
nm1082477,Omar Sy
nm0494504,Anne Le Ny
nm1109153,Audrey Fleurot
nm1325419,Kristen Wiig
nm0544718,Kate Mara
nm0005458,Jason Statham
nm0334318,Stephen Graham
nm0005068,Vinnie Jones
nm0000332,Don Cheadle
nm1089991,Tom Hiddleston
nm0000602,Robert Redford
nm2017943,Hayley Atwell
nm0000995,Ellen Burstyn
nm0001467,Jared Leto
nm0005541,Marlon Wayans
nm2353862,Dev Patel
nm2951768,Freida Pinto
nm0795661,Saurabh Shukla
nm0438463,Anil Kapoor
nm0814280,Song Kang-ho
nm1310525,Lee Sun-kyun
nm1856097,Cho Yeo-jeong
nm6079248,Choi Woo-sik
nm0004778,Adrien Brody
nm0470981,Thomas Kretschmann
nm0277975,Frank Finlay
nm0288976,Emilia Fox
nm0000349,Joan Cusack
nm0000885,Ned Beatty
nm0293509,Martin Freeman
nm0035514,Richard Armitage
nm0785227,Andy Serkis
nm0000113,Sandra Bullock
nm0000123,George Clooney
nm1241511,Orto Ignatiussen
nm0000719,F. Murray Abraham
nm0023832,Mathieu Amalric
nm0001497,Tobey Maguire
nm0000379,Kirsten Dunst
nm0290556,James Franco
nm0000620,Mickey Rourke
nm0124930,Gerard Butler
nm0372176,Lena Headey
nm0920992,David Wenham
nm0922035,Dominic West
nm2401020,Will Poulter
nm0000194,Julianne Moore
nm0000191,Ewan McGregor
nm0005157,Jake Lloyd
nm0350453,Jake Gyllenhaal
nm0540441,Jena Malone
nm0001521,Mary McDonnell
nm0651660,Holmes Osborne
nm1659221,Sebastian Stan
nm0159789,Hayden Christensen
nm0001321,Richard Harris
nm0001749,Maggie Smith
nm0302108,Zach Galifianakis
nm0058581,Justin Bartha
nm1159180,Ed Helms
nm1569276,Chadwick Boseman
nm0430107,Michael B. Jordan
nm2143282,Lupita Nyong'o
nm1775091,Danai Gurira
nm4043618,Tom Holland
nm3918035,Zendaya
nm1212722,Benedict Cumberbatch
nm8188622,Jacob Batalon
nm0153738,Daveigh Chase
nm0687189,Suzanne Pleshette
nm0997115,Miyu Irino
nm0383708,Rumi Hiiragi
nm0000142,Clint Eastwood
nm3057402,Bee Vang
nm1542291,Christopher Carley
nm3115704,Ahney Her
nm0328828,Matthew Goode
nm1395602,Allen Leech
nm0005109,Mila Kunis
nm0001993,Vincent Cassel
nm0000213,Winona Ryder
nm0001772,Patrick Stewart
nm6748436,Dafne Keen
nm2933542,Boyd Holbrook
nm0147147,Henry Cavill
nm0010736,Amy Adams
nm0788335,Michael Shannon
nm0000178,Diane Lane
nm0000226,Will Smith
nm0103797,Alice Braga
nm2253071,Charlie Tahan
nm0724757,Salli Richardson-Whitfield
nm0386472,Emile Hirsch
nm0654110,Clive Owen
nm0004695,Jessica Alba
nm0000949,Cate Blanchett
nm1179105,Alexandre Rodrigues
nm1129884,Leandro Firmino
nm0618690,Matheus Nachtergaele
nm1249574,Phellipe Haagensen
nm0851582,Audrey Tautou
nm0440913,Mathieu Kassovitz
nm0749363,Rufus
nm0186677,Lorella Cravotta
nm0004951,Brad Garrett
nm0738918,Lou Romano
nm0652663,Patton Oswalt
nm0000453,Ian Holm
nm0252230,Chiwetel Ejiofor
nm1046097,Rachel McAdams
nm0938950,Benedict Wong
nm0005266,Craig T. Nelson
nm0000456,Holly Hunter
nm0005134,Jason Lee
nm0059431,Jay Baruchel
nm2395586,Christopher Mintz-Plasse
nm0272401,Craig Ferguson
nm0205626,Viola Davis
nm0502425,Melissa Leo
nm0688132,Amy Poehler
nm0352778,Bill Hader
nm0085400,Lewis Black
nm1411676,Mindy Kaling
nm0202603,Jack Davenport
nm0000489,Christopher Lee
nm0185819,Daniel Craig
nm1869101,Ana de Armas
nm0000130,Jamie Lee Curtis
nm0564215,James McAvoy
nm0251986,Jesse Eisenberg
nm1940449,Andrew Garfield
nm0005493,Justin Timberlake
nm1913734,Rooney Mara
nm0915865,Jacki Weaver
nm0001845,Forest Whitaker
nm0836121,Michael Stuhlbarg
nm1176985,Dave Bautista
nm0931324,Michael Kenneth Williams
nm1055413,Michael Fassbender
nm0000905,Roberto Benigni
nm0000971,Nicoletta Braschi
nm0134493,Giorgio Cantarini
nm0243842,Giustino Durano
nm0365140,Naomie Harris
nm0001132,Judi Dench
nm0000102,Kevin Bacon
nm1500155,Robert Pattinson
nm0942482,Jeffrey Wright
nm0268199,Colin Farrell
nm0001971,Ewen Bremner
nm0001538,Jonny Lee Miller
nm0571727,Kevin McKidd
nm0000196,Mike Myers
nm0000552,Eddie Murphy
nm0000139,Cameron Diaz
