movieID,actorID,role
tt0111161,nm0000209,Andy Dufresne
tt0111161,nm0000151,Ellis Boyd 'Red' Redding
tt0111161,nm0348409,Warden Norton
tt0111161,nm0006669,Heywood
tt0468569,nm0000288,Bruce Wayne
tt0468569,nm0000288,Batman
tt0468569,nm0005132,Joker
tt0468569,nm0001173,Harvey Dent
tt0468569,nm0000323,Alfred
tt1375666,nm0000138,Cobb
tt1375666,nm0330687,Arthur
tt1375666,nm0680983,Ariadne
tt1375666,nm0913822,Saito
tt0137523,nm0000093,Tyler Durden
tt0137523,nm0001570,Narrator
tt0137523,nm0001533,Robert Paulsen
tt0137523,nm0340260,Richard Chesler (Regional Manager)
tt0109830,nm0000158,Forrest Gump
tt0109830,nm0000705,Jenny Curran
tt0109830,nm0000641,Lieutenant Dan Taylor
tt0109830,nm0000398,Mrs. Gump
tt0110912,nm0000237,Vincent Vega
tt0110912,nm0000235,Mia Wallace
tt0110912,nm0000168,Jules Winnfield
tt0110912,nm0000246,Butch Coolidge
tt0133093,nm0000206,Neo
tt0133093,nm0000401,Morpheus
tt0133093,nm0005251,Trinity
tt0133093,nm0915989,Agent Smith
tt0120737,nm0000704,Frodo
tt0120737,nm0005212,Gandalf
tt0120737,nm0089217,Legolas
tt0120737,nm0000293,Boromir
tt0816692,nm0000190,Cooper
tt0816692,nm0004266,Brand
tt0816692,nm1567113,Murph
tt0816692,nm3237775,Murph (10 Yrs.)
tt0167260,nm0000704,Frodo
tt0167260,nm0001557,Aragorn
tt0167260,nm0005212,Gandalf
tt0167260,nm0089217,Legolas
tt1345836,nm0000288,Bruce Wayne
tt1345836,nm0000288,Batman
tt1345836,nm0362766,Bane
tt1345836,nm0004266,Selina
tt1345836,nm0000198,Commissioner Gordon
tt0167261,nm0000704,Frodo
tt0167261,nm0005212,Gandalf
tt0167261,nm0001557,Aragorn
tt0167261,nm0089217,Legolas
tt0114369,nm0000151,Somerset
tt0114369,nm0000093,Mills
tt0114369,nm0000228,John Doe
tt0114369,nm0001825,Dead Man at 1st Crime Scene
tt1853728,nm0004937,Django
tt1853728,nm0910607,Dr. King Schultz
tt1853728,nm0000138,Calvin Candie
tt1853728,nm0913488,Broomhilda von Shaft
tt0172495,nm0000128,Maximus
tt0172495,nm0001618,Commodus
tt0172495,nm0001567,Lucilla
tt0172495,nm0001657,Proximo
tt0372784,nm0000288,Bruce Wayne
tt0372784,nm0000288,Batman
tt0372784,nm0000323,Alfred
tt0372784,nm0913822,Ra's Al Ghul
tt0372784,nm0000553,Ducard
tt0361748,nm0000093,Lt. Aldo Raine
tt0361748,nm1208167,Bridget von Hammersmark
tt0361748,nm0744834,Sgt. Donny Donowitz
tt0361748,nm0491259,Shosanna
tt0102926,nm0000149,Clarice Starling
tt0102926,nm0000164,Dr. Hannibal Lecter
tt0102926,nm0095029,FBI Instructor
tt0102926,nm0501435,Ardelia Mapp
tt0993846,nm0000138,Jordan Belfort
tt0993846,nm1706767,Donnie Azoff
tt0993846,nm3053338,Naomi Lapaglia
tt0993846,nm0000190,Mark Hanna
tt0120815,nm0000158,Captain Miller
tt0120815,nm0000354,Private Ryan
tt0120815,nm0001744,Sergeant Horvath
tt0120815,nm0122653,Private Reiben
tt0848228,nm0000375,Tony Stark
tt0848228,nm0000375,Iron Man
tt0848228,nm0262635,Steve Rogers
tt0848228,nm0262635,Captain America
tt0848228,nm0424060,Natasha Romanoff
tt0848228,nm0424060,Black Widow
tt0848228,nm0719637,Clint Barton
tt0848228,nm0719637,Hawkeye
tt0108052,nm0000553,Oskar Schindler
tt0108052,nm0000146,Amon Goeth
tt0108052,nm0001426,Itzhak Stern
tt0108052,nm0328751,Emilie Schindler
tt0482571,nm0000288,Alfred Borden
tt0482571,nm0413168,Robert Angier
tt0482571,nm0424060,Olivia Wenscombe
tt0482571,nm0000323,Cutter
tt1130884,nm0000138,Teddy Daniels
tt1130884,nm0607865,Rachel 1
tt1130884,nm0749263,Chuck Aule
tt1130884,nm0001426,Dr. Cawley
tt7286456,nm0001618,Arthur Fleck
tt7286456,nm0000134,Murray Franklin
tt7286456,nm5939164,Sophie Dumond
tt7286456,nm0175814,Penny Fleck
tt0407887,nm0000138,Billy
tt0407887,nm0000354,Colin
tt0407887,nm0000197,Costello
tt0407887,nm0000242,Dignam
tt0499549,nm0941777,Jake Sully
tt0499549,nm0757855,Neytiri
tt0499549,nm0000244,Dr. Grace Augustine
tt0499549,nm0735442,Trudy Chacón
tt0120689,nm0000158,Paul Edgecomb
tt0120689,nm0003817,John Coffey
tt0120689,nm0001556,Brutus 'Brutal' Howell
tt0120689,nm0001372,Jan Edgecomb
tt0209144,nm0001602,Leonard
tt0209144,nm0005251,Natalie
tt0209144,nm0001592,Teddy
tt0209144,nm0095478,Burt
tt2015381,nm0695435,Peter Quill
tt2015381,nm0004874,Groot
tt2015381,nm0177896,Rocket
tt2015381,nm0757855,Gamora
tt0120338,nm0000138,Jack Dawson
tt0120338,nm0000701,Rose Dewitt Bukater
tt0120338,nm0000708,Cal Hockley
tt0120338,nm0000870,Molly Brown
tt0099685,nm0000134,James Conway
tt0099685,nm0000501,Henry Hill
tt0099685,nm0000582,Tommy DeVito
tt0099685,nm0000966,Karen Hill
tt0110413,nm0000606,Leon
tt0110413,nm0000198,Stansfield
tt0110413,nm0000204,Mathilda
tt0110413,nm0000732,Tony
tt4154796,nm0000375,Tony Stark
tt4154796,nm0000375,Iron Man
tt4154796,nm0262635,Steve Rogers
tt4154796,nm0262635,Captain America
tt4154796,nm0749263,Bruce Banner
tt4154796,nm0749263,Hulk
tt4154796,nm1165110,Thor
tt0169547,nm0000228,Lester Burnham
tt0169547,nm0000906,Carolyn Burnham
tt0169547,nm0000301,Jane Burnham
tt0169547,nm0004747,Ricky Fitts
tt0325980,nm0000136,Jack Sparrow
tt0325980,nm0001691,Barbossa
tt0325980,nm0089217,Will Turner
tt0325980,nm0461136,Elizabeth Swann
tt0910970,nm0123785,WALL·E
tt0910970,nm0123785,M-O
tt0910970,nm2264184,EVE
tt0910970,nm0307531,Captain
tt0910970,nm0929609,Shelby Forthright - BNL CEO
tt0120586,nm0001570,Derek
tt0120586,nm0000411,Danny
tt0120586,nm0000350,Doris
tt0120586,nm0000497,Davina
tt0266697,nm0000235,The Bride
tt0266697,nm0001016,Bill
tt0266697,nm0000435,Elle Driver
tt0266697,nm0000514,Budd
tt0434409,nm0915989,V
tt0434409,nm0915989,William Rookwood
tt0434409,nm0000204,Evey
tt0434409,nm0001291,Dominic
tt0434409,nm0001653,Finch
tt4154756,nm0000375,Tony Stark
tt4154756,nm0000375,Iron Man
tt4154756,nm1165110,Thor
tt4154756,nm0749263,Bruce Banner
tt4154756,nm0749263,Hulk
tt4154756,nm0262635,Steve Rogers
tt4154756,nm0262635,Captain America
tt0103064,nm0000216,The Terminator
tt0103064,nm0000157,Sarah Connor
tt0103064,nm0000411,John Connor
tt0103064,nm0001598,T-1000
tt0120382,nm0000120,Truman Burbank
tt0120382,nm0000438,Christof
tt0120382,nm0001473,Meryl Burbank
tt0120382,nm0001473,Hannah Gill
tt0120382,nm0001187,Marlon
tt0114814,nm0000228,Verbal
tt0114814,nm0000321,Keaton
tt0114814,nm0001590,Dave Kujan
tt0114814,nm0000286,McManus
tt0110357,nm0000111,Simba
tt0110357,nm0000460,Scar
tt0110357,nm0000469,Mufasa
tt0110357,nm0000155,Shenzi
tt0371746,nm0000375,Tony Stark
tt0371746,nm0000569,Pepper Potts
tt0371746,nm0005024,Rhodey
tt0371746,nm0000313,Obadiah Stane
tt1049413,nm0000799,Carl Fredricksen
tt1049413,nm2973712,Russell
tt1049413,nm0001652,Construction Foreman Tom
tt1049413,nm0001626,Charles Muntz
tt1431045,nm0005351,Wade
tt1431045,nm0005351,Deadpool
tt1431045,nm1072555,Vanessa
tt1431045,nm2554352,Weasel
tt1431045,nm4534098,Ajax
tt0266543,nm0000983,Marlin
tt0266543,nm0001122,Dory
tt0266543,nm1071252,Nemo
tt0266543,nm0000353,Gill
tt0112573,nm0000154,William Wallace
tt0112573,nm0000521,Princess Isabelle
tt0112573,nm0001526,Longshanks - King Edward I
tt0112573,nm0005171,Robert the Bruce
tt0105236,nm0000172,Mr. White
tt0105236,nm0000172,Larry
tt0105236,nm0000619,Mr. Orange
tt0105236,nm0000619,Freddy
tt0105236,nm0000514,Mr. Blonde
tt0105236,nm0000514,Vic
tt0105236,nm0001606,Nice Guy Eddie
tt0338013,nm0000120,Joel Barish
tt0338013,nm0000701,Clementine Kruczynski
tt0338013,nm0929489,Dr. Mierzwiak
tt0338013,nm0004423,Train Conductor
tt1392190,nm0362766,Max Rockatansky
tt1392190,nm0000234,Imperator Furiosa
tt1392190,nm0396558,Nux
tt1392190,nm2368789,Toast the Knowing
tt0264464,nm0000138,Frank Abagnale Jr.
tt0264464,nm0000158,Carl Hanratty
tt0264464,nm0000686,Frank Abagnale
tt0264464,nm0000640,Roger Strong
tt0114709,nm0000158,Woody
tt0114709,nm0000741,Buzz Lightyear
tt0114709,nm0725543,Mr. Potato Head
tt0114709,nm0001815,Slinky Dog
tt0107290,nm0000554,Grant
tt0107290,nm0000368,Ellie
tt0107290,nm0000156,Malcolm
tt0107290,nm0000277,Hammond
tt0167404,nm0000246,Malcolm Crowe
tt0167404,nm0005286,Cole Sear
tt0167404,nm0001057,Lynn Sear
tt0167404,nm0931404,Anna Crowe
tt2267998,nm0000255,Nick Dunne
tt2267998,nm0683253,Amy Dunne
tt2267998,nm0000439,Desi Collings
tt2267998,nm1347153,Tanner Bolt
tt0119217,nm0000245,Sean
tt0119217,nm0000354,Will
tt0119217,nm0000255,Chuckie
tt0119217,nm0001745,Lambeau
tt0477348,nm0000169,Ed Tom Bell
tt0477348,nm0000849,Anton Chigurh
tt0477348,nm0000982,Llewelyn Moss
tt0477348,nm0000437,Carson Wells
tt0268978,nm0000128,John Nash
tt0268978,nm0000438,Parcher
tt0268978,nm0000124,Alicia Nash
tt0268978,nm0001626,Dr. Rosen
tt1392170,nm2225369,Katniss Everdeen
tt1392170,nm1242688,Peeta Mellark
tt1392170,nm2955013,Gale Hawthorne
tt1392170,nm0001804,Caesar Flickerman
tt2488496,nm5397459,Rey
tt2488496,nm3915784,Finn
tt2488496,nm1209966,Poe Dameron
