userID,actorID
wandawilliams05,nm0000695
jackbailey64,nm6733167
josefoster51,nm0679326
helenpatterson59,nm0564805
frankscott28,nm9408794
sarahbaker84,nm3725055
marilynwalker33,nm0000767
marywashington86,nm2487186
beverlymartinez88,nm0645785
kennethrussell68,nm5159424
mildredtorres28,nm2640887
robinmurphy65,nm0416524
debralong52,nm0810619
cynthiabaker81,nm4048274
dianehughes93,nm0791226
terrycarter36,nm0279545
timothyhenderson76,nm2025993
nancyharris25,nm1432956
scottpowell72,nm5594209
kennethpowell12,nm4668046
carljames06,nm0539082
irenejackson87,nm9450235
amandacooper43,nm1024183
deborahwatson36,nm10641642
davidwalker30,nm0000510
debrastewart85,nm3199307
victoryoung84,nm0493980
amandabaker10,nm0086322
judybutler08,nm4843279
carlossmith29,nm2453803
markrodriguez38,nm2201960
carlosrodriguez12,nm0751798
jameskelly86,nm0489504
francesadams16,nm0085359
victorbrown94,nm2376760
lorimoore54,nm0001389
francesphillips67,nm4097479
louisesanders95,nm2315898
denniswood29,nm0000680
johnnymurphy33,nm2244640
alicerogers06,nm0431493
russellrussell51,nm1923045
paulbell07,nm0332390
nancyjones95,nm9133740
larryedwards13,nm0004815
bruceward54,nm1201777
lawrenceperry77,nm0310966
rubyflores05,nm0502097
dianawood63,nm2974534
robinrogers50,nm8231714
kevinbennett78,nm0874676
ryanmorris95,nm1064292
elizabethwright95,nm0534267
benjaminjames43,nm0208426
irenejackson87,nm0444832
loisalexander42,nm4452673
terrymoore35,nm1122077
walteryoung49,nm0120698
dennismurphy21,nm0343447
brendaallen09,nm0001487
kathrynhughes47,nm5370274
russellbarnes75,nm0447337
larrydavis42,nm1039930
julieallen96,nm0530864
markfoster96,nm7405977
dorothysimmons03,nm0743896
annbarnes58,nm0942876
marthabennett58,nm0001074
mildredpatterson83,nm0000342
rosehill26,nm1577101
seanhill22,nm9654611
toddwilson21,nm1896736
christineperry43,nm1305192
ericroberts82,nm0667186
johnsanders22,nm0126743
fredgray02,nm1822271
judithhoward01,nm9016782
kennethhenderson27,nm0005064
fredharris32,nm2973459
patriciaflores61,nm0530286
charlesphillips45,nm0955504
mildredfoster83,nm4870585
seanlong68,nm0122058
randypeterson14,nm0001882
tinakelly79,nm0239816
timothybryant60,nm2379003
janeking79,nm4544251
louislopez89,nm0405111
sarahcook26,nm0715563
antoniolong60,nm0453994
debrasimmons09,nm2126655
benjaminrobinson77,nm0001194
brucegray20,nm1409196
kevinmorgan58,nm0619822
paulmoore72,nm2387707
janeallen44,nm0880484
robinbrooks27,nm3192510
ruthbrown47,nm0056770
jimmyward94,nm0131235
aliceadams99,nm1914298
alantaylor79,nm0411980
judithbrooks48,nm0285913
ashleybailey69,nm2207582
ronaldrogers09,nm0519756
jeanjones65,nm0810379
haroldcollins20,nm0483788
patrickking39,nm0001715
larrymiller92,nm1146705
jerryallen75,nm5447706
phyllisbaker76,nm1424720
richardpowell70,nm1592225
henrydavis67,nm5530691
andreadavis64,nm1546077
kathrynprice50,nm7769300
phillipadams97,nm0059941
tammysimmons78,nm4358565
helenfoster60,nm0086322
raymondbutler79,nm4086403
phillipward43,nm0092362
debrataylor42,nm2149245
clarencemitchell30,nm11769337
christinewhite43,nm7140802
haroldhayes33,nm0502232
brendasmith15,nm2358540
martinpeterson03,nm5823636
virginiamorgan00,nm2936228
matthewking70,nm0117374
louiswood92,nm1091312
peterroberts76,nm0144377
samuelwilson72,nm0001713
martinbrooks56,nm1796730
jessicaedwards55,nm0001794
ryanmorgan66,nm3327294
russellmorris39,nm1218757
debrahall75,nm11633473
henrypeterson46,nm0836432
adamhughes06,nm0280559
tammyanderson62,nm3617391
eugenerodriguez11,nm1249052
ashleybryant15,nm0004789
gregoryyoung58,nm0001383
clarencegriffin31,nm0063800
lindawatson41,nm9982380
joejames26,nm3053338
lillianwood86,nm0889846
anthonylee16,nm1678557
bettyprice23,nm0159900
nancywilson06,nm1092022
victoryoung84,nm2773139
jerrycoleman89,nm0690303
carolynpatterson91,nm1587122
marthahenderson89,nm1336069
margaretcampbell07,nm1064987
rubygonzales26,nm0235960
andreagarcia15,nm0836683
alberttaylor96,nm9378786
nancycarter17,nm2520301
patriciathompson54,nm1066396
dorisgarcia24,nm0580924
bobbythompson24,nm0000263
andrewturner00,nm6598222
joshualewis24,nm0764445
shirleybell06,nm0001744
joemartinez62,nm1789985
saragarcia25,nm0095561
jimmymartinez79,nm0005522
andreacollins49,nm2975576
