userID,genreID
fredalexander40,g21
evelyntaylor04,g04
andrewramirez67,g03
keithreed79,g13
victorjones76,g12
raymondadams51,g10
christopherroberts62,g12
adambrown29,g06
christopherclark89,g10
marthascott51,g16
scottbaker60,g07
philliprobinson10,g19
markrogers98,g14
timothybailey61,g15
lawrencelewis28,g13
kathleendavis18,g08
bobbygarcia91,g13
scottrodriguez69,g02
marieadams24,g03
judyfoster04,g13
ericturner24,g18
susanhernandez86,g10
bonnielee17,g09
helenrichardson46,g06
amandarodriguez39,g07
glorialewis24,g20
andreaward53,g21
normagarcia52,g00
margaretramirez49,g17
douglasalexander77,g15
earlgriffin60,g13
franceswood96,g10
annakelly13,g11
anngarcia40,g08
rubybarnes88,g18
jeffreycook02,g04
annelong47,g01
roytorres24,g07
brendaedwards69,g16
brandonmurphy75,g16
carolynwood21,g14
michellejackson52,g16
mariewilson51,g15
jeffreyturner88,g20
jenniferwalker49,g18
fredwilliams56,g14
loiswhite87,g01
stephaniegreen15,g17
marilyncarter55,g02
keithramirez63,g01
teresaphillips55,g06
kimberlycoleman07,g18
jackharris14,g10
patrickking39,g17
ernestreed10,g08
michelletorres92,g18
charlesanderson39,g02
katherinecoleman41,g04
christinewatson04,g12
charleswood31,g13
juanramirez11,g12
joshuayoung22,g19
jeffreyedwards29,g09
garystewart04,g10
evelynsanders89,g03
kathybailey80,g21
arthurjohnson45,g18
ashleyhill66,g10
larrymitchell40,g06
amandacox86,g16
angelarodriguez53,g11
mildredprice25,g08
andreaparker03,g19
jamesperez42,g19
kellyward05,g02
kellydiaz10,g14
ralphbaker07,g20
nicholasanderson38,g02
terryward77,g08
kennethsimmons24,g14
harrypeterson35,g18
rubycarter22,g15
michaelgreen59,g05
dennismorris42,g02
robertrichardson91,g04
mildredgriffin79,g11
teresawood47,g16
donnamitchell24,g00
williambell94,g03
theresawalker98,g13
albertbell41,g18
georgejenkins05,g11
marthahill41,g05
richardflores39,g05
nicholasperry62,g15
christineyoung36,g10
roserodriguez62,g13
garyparker05,g14
samuelrobinson87,g16
phillipmurphy06,g01
danielyoung02,g04
melissadavis28,g06
shirleyhall86,g21
williamrussell64,g07
phillipgarcia96,g08
jackthompson13,g09
christinemitchell63,g08
andrewwilson00,g15
samuelrivera90,g10
dorothyphillips84,g17
clarencemurphy16,g00
evelynramirez66,g17
samueldavis40,g01
ryanmartin52,g17
ronaldhayes76,g09
chrisprice82,g02
larrysimmons10,g02
amyhall26,g00
francesnelson35,g21
kellykelly80,g07
michaelrogers56,g21
eugenelopez27,g03
shawnjones96,g17
rachelsanders41,g02
