follower,following
carolynmartin54,harryward82
russellrichardson06,walterhughes10
rogerwilliams45,aaronwalker40
jimmymitchell57,tinaphillips98
janejenkins03,janetfoster67
heatherprice10,frankthompson14
brianphillips89,shawnross51
josephyoung54,donaldbaker68
anthonycox76,brendaking34
andreapeterson20,alicemartin68
donaldbarnes04,patrickharris21
anndiaz22,pamelarichardson53
debrajohnson11,williambell42
rachelrivera73,christopherjenkins24
thomasclark57,danielrivera74
ernestcooper89,christopherkelly42
brandontaylor78,terryking57
waltermartin31,kathleencampbell72
terryrussell91,sandradiaz40
dorothywalker94,franceshall08
lauradavis36,margaretreed64
heatherflores70,jackjames43
normaparker32,ryanprice88
denisehernandez06,henrybailey22
russelldavis55,janetlong61
robertpeterson78,cynthiaross62
juliethompson40,elizabethjackson30
billyramirez56,catherinenelson22
juangreen82,aaronthomas89
charlesprice31,wandawright85
jerrywhite46,haroldscott06
matthewanderson11,terrygonzales75
nicolehughes11,markallen81
christopherwalker11,lindacampbell36
donaldmartinez35,normacook03
martinrogers32,frankgonzales68
margaretrobinson78,juliebell24
andrewbrooks14,davidwashington06
saragonzalez81,tinaflores81
judymartin12,richardgonzalez85
johnhill92,peteryoung73
stephenmiller09,mariediaz64
clarencecook17,jeffreytaylor52
annpeterson78,teresaallen35
michelleadams22,jacquelinetaylor10
ruthalexander30,joanramirez24
danielhayes53,earlbailey37
rogerperry91,kellyalexander92
albertallen09,helenwood40
alanpeterson96,alanbennett22
robertparker04,joyceclark61
kathryncoleman30,lawrencelong74
timothythomas34,juliascott00
dorisbell75,amybrown27
jessemitchell29,henrybarnes33
phylliswalker87,scottmartinez21
dorismartinez69,kathyrodriguez40
andreahoward25,anthonysimmons66
jeremyrichardson50,gloriawashington45
kevinramirez54,jeanevans55
irenebrooks92,martinhernandez19
jamesrussell15,theresaflores78
paulaallen95,lawrencekelly95
dorispowell68,jerrylopez11
martingarcia11,amandasanders60
phyllisclark14,dennisrobinson15
bonniefoster60,justinsanders35
lisahayes55,tammypatterson96
shawnsanchez49,victorstewart92
terrywalker70,jeremysanders75
jamesgonzalez25,kathymartinez16
marybrown07,franksanchez12
alanroberts97,roseflores60
anniecook34,waltermorris01
thomasgonzalez42,martharogers14
jennifersmith15,annewood59
pauljackson66,frankroberts59
joycegonzalez91,jeandavis47
tammylong74,aaronramirez95
jeanbutler13,loismiller99
normapowell92,amymitchell87
gregorywashington19,katherinebaker60
kathyperry63,craigbell97
ashleybarnes94,richardcoleman62
jeremywatson06,christinepeterson92
sharonpatterson27,loisscott38
brandonlong08,normapowell92
scottparker12,earlwright21
theresaalexander86,keithjames56
haroldwatson09,kathleenmorris02
phillipallen31,fredmartinez00
williamprice08,antoniobutler05
josephanderson74,helengriffin87
tammyrodriguez90,kathrynbrooks40
francesrussell03,deborahtaylor92
nancymorris98,kennethsimmons93
aaronhill25,matthewalexander61
ralphbell80,clarenceadams22
terrymurphy08,stephenbell80
annthomas48,emilyrivera61
paulataylor71,virginiastewart32
carloslewis78,annieharris80
brucehill28,waynephillips18
randygonzalez98,eugenejenkins15
barbaragray99,rosesmith01
clarenceking27,catherinegonzalez14
ashleymorris33,marilynsanders03
angelaward85,ashleyscott95
albertallen09,jamesalexander01
phyllisperez04,howardtaylor95
brandonphillips20,louissanders81
mariahernandez37,thomasrobinson59
kennethwright15,craigwilson62
ericward34,margaretgonzalez32
christinestewart83,virginiathompson87
catherinemartinez83,susanprice02
emilyhernandez99,anniemurphy58
bonniebrown01,deborahwilson13
bonniemitchell53,matthewedwards29
emilyedwards45,wandasanchez74
barbarafoster86,gregoryross37
jessebrooks53,nicoletorres96
carolwashington61,lisaallen87
johnjohnson49,louiseallen30
elizabethgonzalez51,dennisrichardson53
loiswilson31,ernestmiller13
helennelson33,heatherbailey85
annaross95,donnarodriguez66
andreawatson12,sandrascott24
brendaevans08,joanwood19
clarencegriffin32,toddjames34
wandaturner44,chrisrivera01
jesseflores10,waltersimmons19
michellepeterson17,waynebrooks51
stephenclark59,jimmyhughes29
fredcoleman51,carolynperry72
sarahgriffin59,williambell42
catherinephillips88,stevekelly43
mildredsanchez09,annmoore04
heatherparker48,ernestgray63
robincollins34,kathyrodriguez40
brendatorres30,nicolerussell07
deborahbarnes80,jonathanhughes22
seancoleman22,jasonlee41
sharonlee61,dennispatterson23
danielwhite88,jeanperry15
dennismorgan31,normacarter32
jasonwatson88,philipwhite84
raymondross02,pamelamiller18
tinajames22,barbaraharris94
alanstewart38,arthurharris25
larrygarcia45,billylewis05
jeangarcia43,wandaflores91
howardwhite69,debrahayes80
rachelrichardson81,jackhernandez16
ashleyperry16,marilynharris42
jeangray71,bobbycarter54
nicoleharris12,joshuagonzalez09
mariaadams40,irenelewis23
paulward58,heathercook22
billybrown40,ashleyrichardson18
phillipphillips72,arthurjohnson56
garyscott40,annarogers19
judyjackson01,henrybaker21
geraldwood79,jerryscott85
samuelbrooks41,waltermartin31
michaelharris53,nicolemitchell21
phyllisroberts82,theresawashington62
toddstewart11,anniemurphy58
theresacampbell25,russellmurphy27
lawrencegarcia62,shawnjackson13
samuelmorgan38,nicolebell07
juanmartin34,gloriaclark64
theresabrooks47,amybarnes82
johnhughes42,heathermitchell12
andrewevans68,danieladams72
toddcox22,lawrencerussell49
marthakelly71,antoniogarcia07
chrissimmons28,geraldpowell74
lillianwhite03,kathleenmartin13
benjamincooper35,jeffreybutler99
janescott33,ernestking97
christopherroberts50,paulwright57
marilynrussell72,rosemitchell54
marilynrobinson72,alicemartin68
paullong28,annyoung18
loishughes19,beverlylewis40
angelasimmons83,deniselong73
theresagriffin03,francesbryant69
earlperez19,denisepatterson63
bonniegarcia64,janiceclark71
janediaz72,shirleyrodriguez29
jessegonzales00,matthewsimmons93
jamesadams96,emilylewis15
toddlewis53,samueldiaz64
johnperry19,carolynjones85
stevebennett36,billymartin96
clarencepowell60,mildredjones69
edwardyoung14,mariapatterson61
jessemartin96,ronaldstewart86
harryward82,charlesmitchell69
ernestturner82,billysmith11
jeanhughes75,brendagriffin62
toddwatson25,danielmoore88
jeremymartinez96,deborahwood37
saracooper00,jamescarter18
juliamartin95,andreajones92
lilliankelly38,williammartinez71
henryroberts47,marthapowell78
denisejenkins51,dianacarter74
clarenceflores10,jenniferhenderson48
angelathompson71,angelamorris25
russelledwards64,benjaminramirez33
angelagonzales28,deniserogers27
doristorres69,victorwatson18
harryprice93,donaldcox66
chrishernandez81,amyyoung43
nancybennett35,brandonedwards22
johnnyhughes51,kathleenhoward36
bettyyoung07,loisjackson06
dianewashington04,matthewking02
dianakelly31,barbarathomas42
bruceperry97,cynthiathomas25
juanhill32,helencox06
rebeccawatson31,lilliansmith85
jacklong53,barbaracox22
victorthompson87,rebeccahenderson34
dianacook60,kathystewart04
jessicamartin64,robertbutler64
earlmorgan64,tinagriffin68
laurahernandez02,christinapeterson14
harrycollins41,seancampbell81
virginiacollins58,kathleenperry87
ruthbailey38,angelacooper34
ruthbaker13,emilywatson50
christinabell69,scottcampbell90
ernesthayes67,katherinegonzales00
patriciawalker60,christinepatterson79
debraalexander45,mariewood98
thomasthomas03,daniellewis68
russelltaylor07,justinhughes79
helenmiller98,emilypowell21
kevinbryant87,thomaswalker42
brucegriffin44,louisjackson37
brucefoster46,ashleyjackson27
harryedwards80,geraldcox54
seanwood35,lauraflores78
charlesprice31,seanpowell92
loisjenkins18,keithcox39
johnpowell69,brianscott97
stephenmurphy74,cynthiawilliams15
dennishill23,johnwatson23
geraldlewis55,lauraprice01
nicolethompson32,walterdiaz14
harrycoleman51,lindaking71
davidjones06,juliewashington10
christineking86,lindaanderson74
craighall75,jeremyhenderson55
jameshayes86,teresabaker23
edwardhernandez23,jasonrussell66
jenniferrivera83,rogerbailey41
mariamorris03,henrycarter00
timothyross37,adamrobinson89
louisreed99,jacquelinewatson98
deborahroberts32,haroldjohnson50
janicecook85,jasonhernandez78
cherylbarnes01,josephrussell61
andreagray38,charlesbryant39
jeansmith08,markwhite13
charlesthompson53,terryrussell91
carolroberts42,toddsanchez11
christineking86,lawrenceadams03
cynthiagray15,mariahenderson36
nicholascarter96,juliawright64
toddmorgan17,donnahernandez09
annagonzales93,robinrichardson83
maryflores89,janicecooper74
juansanchez24,nancydavis23
pamelasimmons66,philipross90
brendaross04,johnbrooks71
earlclark07,melissatorres95
joshuatorres52,jackwright36
earlphillips46,louislong77
williamedwards89,karencollins61
jeffreythompson03,sarahtaylor82
carllopez66,amandajones60
chrisparker50,carloscampbell00
adamdavis49,toddclark90
robinmartin17,howardmitchell49
dianasanders40,donaldross96
robertmurphy91,ronaldbaker31
waynerogers07,nancyramirez45
jesserodriguez94,jeanmorgan77
nancyflores51,dianamiller56
harrypatterson77,stevenlee41
kellyhill15,annethomas33
lawrencewalker78,annhall77
lillianjones04,dianebarnes78
georgeallen97,danielhenderson86
carlmorris22,bonnierichardson51
samuelgonzales87,amandatorres07
ernestallen08,jeffreycoleman40
mildredgonzalez84,margaretedwards22
dianaward08,keithadams40
annelee25,joeramirez44
janicekelly89,juliaallen78
sharonperry49,paulacooper41
carlwood96,sarahall13
aaronyoung50,gregorylopez16
kathrynrodriguez45,emilyalexander45
fredjames87,robinhenderson85
helenmorgan04,jennifertaylor09
jeffreyfoster17,cheryllopez42
louisehall59,loissanchez56
susanperez89,jonathanroberts67
harrymiller45,albertwilliams05
jeffreyjones19,jenniferreed80
lilliandavis07,carolynlee45
carlgonzalez18,carolynhall73
margaretnelson42,johnnybell13
georgebrooks36,garysmith44
harryalexander97,sandrahernandez20
anniejones32,helenbell53
josemartin98,barbarareed59
adamfoster07,teresacook11
ruthharris80,margaretward86
lauraalexander17,kimberlyhayes09
seanparker31,gregoryflores67
jackrodriguez12,christinewood08
jackrichardson59,anthonybell21
marthawilliams54,keithperez15
georgecook82,robinwashington67
susanadams30,sandrathompson70
tinalopez72,lorirobinson11
russellsimmons84,carlrivera91
helenmartin21,jeanpowell93
martinjackson84,bettyevans32
kevindavis22,dorothywatson74
danielgreen36,kathrynpatterson55
jessecollins16,elizabethgonzales73
billyjenkins59,harryreed95
russellmorgan68,carlosthomas99
annahall39,ashleyrobinson43
