movieID,actorID
tt2091256,nm1159180
tt3322420,nm3629863
tt1132449,nm0000681
tt0380389,nm0005273
tt4864932,nm4460942
tt7825208,nm1658753
tt0181689,nm0268199
tt6857112,nm0005253
tt3819668,nm0637586
tt1958043,nm4504267
tt0114924,nm0001967
tt0217756,nm0000274
tt1573072,nm1069034
tt4776998,nm1209966
tt0119210,nm0824317
tt1587310,nm1102577
tt0318081,nm0122653
tt0306047,nm0267506
tt0498381,nm4436761
tt0180734,nm0370035
tt0116531,nm0001221
tt0808339,nm0803037
tt1855401,nm0005162
tt0103030,nm0000721
tt1596363,nm0136797
tt0119115,nm0001589
tt0926759,nm0951456
tt1403130,nm0432425
tt0100814,nm0141617
tt2051879,nm0638824
tt1013743,nm0000129
tt2064968,nm0001082
tt2852458,nm1519727
tt1629374,nm1163057
tt0100594,nm0001714
tt0396688,nm0000458
tt1047540,nm0000673
tt0155776,nm0004301
tt2094766,nm0322407
tt0181536,nm0000719
tt0110950,nm0000160
tt0116704,nm0876603
tt0104694,nm0000187
tt1843287,nm1694597
tt4468740,nm0000424
tt1334553,nm0001383
tt0366777,nm0232963
tt1183911,nm0000667
tt0762125,nm0425005
tt12838766,nm3892241
tt0114194,nm0000686
tt0337592,nm1491136
tt0940642,nm1753862
tt0477071,nm0000113
tt3416828,nm0005380
tt1032856,nm0299924
tt0299930,nm0000182
tt0439289,nm0000569
tt0116426,nm0628806
tt0114436,nm0000153
tt0113492,nm0001638
tt0161081,nm0000148
tt1879016,nm0532193
tt1708532,nm0712546
tt0476958,nm0935395
tt9376612,nm0001426
tt1235166,nm0034390
tt1705786,nm1438884
tt6878306,nm0000158
tt11650226,nm0375436
tt1785635,nm2020278
tt7097896,nm0362766
tt0124298,nm0000409
tt0118548,nm0000432
tt14502344,nm0000102
tt7715202,nm4174212
tt0131566,nm0000191
tt0490196,nm1097515
tt0100740,nm0286719
tt1762399,nm2185462
tt1802197,nm0000706
tt6878882,nm8361677
tt7329656,nm1875985
tt0272020,nm0749263
tt3068194,nm0001721
tt0137523,nm0001570
tt1524575,nm0005023
tt1433108,nm4170324
tt3142872,nm4198135
tt0490196,nm0199180
tt0896798,nm0000168
tt0498380,nm0913822
tt1833844,nm0429363
tt0339135,nm0326988
tt7671064,nm3255459
tt0472399,nm0005458
tt3276924,nm0000134
tt0350261,nm0000182
tt0454776,nm0002091
tt4807408,nm0000162
tt0303714,nm1073992
tt0385057,nm0921979
tt0105643,nm0827294
tt2452386,nm1064292
tt0104114,nm0000833
tt0111756,nm0000598
tt1139592,nm0001236
tt3697626,nm3362169
tt7008872,nm0000128
tt1985949,nm1144419
tt0453453,nm0220867
tt4154796,nm0749263
tt6977338,nm5470093
tt0118688,nm0000123
tt7363076,nm0795661
tt0814314,nm0000437
tt0762125,nm0004754
tt4824308,nm4416000
tt0100404,nm0000471
tt3614530,nm3072243
tt0233422,nm0352032
tt0259484,nm0001616
tt2574698,nm1231899
tt0215750,nm0001212
tt1567609,nm0000154
tt0490084,nm0601553
tt0107144,nm0001077
tt13453006,nm12881714
tt0964587,nm0000391
tt1091722,nm0251986
tt1618442,nm3310211
tt2677722,nm0001845
tt0107563,nm0341176
tt1198156,nm0241049
tt10633456,nm10942337
tt0113492,nm0000800
tt14824590,nm5067473
tt1104001,nm1312575
tt0120616,nm0903677
tt8305806,nm0428309
tt2328900,nm3053338
tt0265298,nm0005260
tt6929642,nm0710545
tt0373051,nm1715194
tt1351685,nm0001804
tt1979388,nm0000531
tt0104684,nm0000334
tt0256103,nm0753314
tt4052050,nm6786013
tt0327056,nm0000576
tt0116365,nm0000746
tt0427392,nm2044796
tt1371630,nm1441714
tt0395251,nm0000111
tt0109127,nm0000502
tt1042877,nm0942482
tt1525890,nm0703831
tt0936501,nm0650702
tt1019452,nm0454236
tt5962210,nm0751518
tt11656220,nm0386472
tt7073710,nm5557932
tt1596346,nm0000598
tt9347730,nm0231458
tt0373889,nm0705356
tt10199640,nm10695946
tt1368116,nm1324959
