userID,movieID,lastWatched,likes
anniejames59,tt0377091,2010-10-30,0
jenniferwood62,tt11742798,2009-05-20,1
kennethbarnes60,tt2218003,2011-10-27,1
anthonyrichardson39,tt0454792,2022-12-26,1
kimberlywalker13,tt0405159,2013-06-09,0
patricktorres55,tt5711148,2016-11-07,0
nancymorris38,tt0119114,2004-06-13,1
robertgray04,tt0444682,2006-03-27,0
jessicajenkins11,tt1307068,2000-08-17,1
jimmyparker76,tt4145178,2015-12-01,1
susanthomas14,tt0254686,2004-09-24,0
jesseturner73,tt14376344,2012-11-19,1
earlramirez88,tt2236054,2006-10-09,1
normalong22,tt9263550,2005-11-22,0
juliebrown62,tt7668842,2004-05-07,0
andreaalexander72,tt0127723,2017-06-15,0
sandraalexander93,tt0275773,2005-10-24,1
joandiaz44,tt3170902,2022-01-15,1
benjaminwilson16,tt7681902,2010-07-03,0
aliceross45,tt0354356,2023-06-07,1
joshuaross67,tt2567026,2008-08-21,0
jeanscott08,tt0120382,2009-06-11,0
louisehenderson13,tt11777738,2014-02-05,1
deniseprice24,tt0452598,2010-10-12,1
rebeccahayes61,tt0469623,2022-10-26,1
annpatterson48,tt1263778,2018-06-21,1
ralphsmith44,tt1210819,2007-11-30,0
susanmorgan93,tt2537176,2003-02-08,0
richardprice74,tt0120832,2021-08-04,0
stevenwatson12,tt14668630,2002-06-26,1
toddcoleman60,tt0970179,2020-07-30,0
josebrown44,tt0278504,2009-06-29,0
jessicahughes87,tt0116839,2009-11-18,0
jacquelinelong22,tt1188996,2001-07-25,0
cynthiaroberts98,tt1277737,2002-09-29,1
donnagriffin68,tt0267804,2010-08-04,0
judithwright39,tt14714980,2006-01-21,0
craigreed96,tt0432402,2019-12-27,1
sharonking13,tt0162360,2022-05-28,0
richardbutler43,tt0120604,2009-11-27,0
sarahernandez21,tt1288558,2001-01-11,0
royperry90,tt13694628,2015-06-19,1
bettycollins62,tt0119715,2002-05-15,0
rogerperry58,tt2390361,2022-10-04,1
marilyndavis50,tt1596343,2021-01-10,1
deborahcooper24,tt2975578,2017-10-18,1
anthonythomas36,tt10016180,2011-08-29,1
johnflores33,tt6609088,2015-07-17,0
stephaniewatson62,tt17220704,2007-03-14,0
eugenewood09,tt0780595,2019-07-05,1
dianewashington72,tt7541106,2008-12-05,0
sarapeterson42,tt0902955,2009-04-28,1
elizabethjones00,tt1127180,2020-11-25,0
cherylmurphy46,tt3174376,2003-04-23,1
sarahperez47,tt8908002,2009-03-12,0
stevenhall10,tt2023690,2013-10-06,0
eugenebarnes28,tt14456350,2018-05-11,1
davidhall12,tt10242388,2013-04-22,1
bettymorris81,tt0462322,2004-03-02,0
deborahbell80,tt1392214,2008-07-31,0
ryanlee75,tt4281724,2020-07-05,1
charlescooper88,tt0119223,2019-05-16,1
charlesmoore76,tt0414951,2020-06-09,0
ralphward13,tt0800320,2001-12-09,0
brucerichardson80,tt0110857,2001-03-31,1
phyllishenderson43,tt0119013,2015-09-06,0
georgethomas92,tt1422032,2018-07-15,1
kathykelly70,tt0181627,2014-09-20,0
anniephillips60,tt0112819,2004-05-31,1
davidbaker19,tt6663582,2017-10-11,1
normalopez26,tt2479478,2010-07-05,1
arthurward62,tt0489237,2011-03-03,0
pamelabailey62,tt0371724,2014-12-05,0
edwardrogers16,tt7765910,2010-11-15,0
howardbell31,tt4685762,2011-06-04,0
johnhoward43,tt0120004,2021-09-12,0
karenlong35,tt1045670,2004-11-23,1
