follower,level
aarongriffin52,2
aaronprice35,1
adambrooks30,2
adamclark85,2
adamgonzalez99,2
adamlopez43,1
alanwilliams07,0
angelahoward80,2
angelahughes51,2
benjamingriffin19,2
bettywhite17,2
billyrivera24,2
billythomas70,1
brucecoleman04,2
carlosgonzalez01,0
carlosroberts42,2
carlosturner45,2
chrisrussell06,1
clarenceclark37,2
craigtorres03,2
cynthiagonzales65,2
cynthiahall99,2
deborahrichardson91,2
earllong21,2
earlmiller25,2
elizabethbrown35,1
elizabethlee57,2
elizabethstewart75,2
fredgarcia37,2
fredgray65,2
helengreen97,2
helenlewis93,2
howardlong53,2
jenniferhernandez64,1
jenniferperry88,2
jessicaramirez14,0
jimmyanderson34,2
jimmybarnes80,2
johnnypowell22,2
johnnyprice17,2
johnnyrichardson79,2
karenphillips92,2
laurabennett20,1
lauramitchell86,2
laurasanchez94,2
lawrencejames43,2
lindaparker57,1
lisarichardson40,2
louissimmons00,1
margaretbailey35,1
margaretgonzalez52,1
margarethayes29,2
margaretmurphy04,2
margaretrodriguez19,2
mariaedwards41,2
martinhill13,2
maryking63,2
nicholasflores78,2
nicholasgray69,2
patriciaward12,2
philiphughes12,2
philipkelly23,2
phillipcollins52,2
phillipdavis81,1
ralphrichardson61,1
randycox36,2
randywashington61,2
royturner33,1
roywhite66,2
samuelperry83,2
sandrastewart26,1
sarahflores79,1
sarahmoore09,2
shawnmoore23,2
shirleycampbell37,2
shirleygriffin96,2
steveturner51,2
waynejackson42,2
wayneward04,0
williewalker24,2
