movieID,movieTitle
tt9376612,Shang-Chi and the Legend of the Ten Rings
tt2382320,No Time to Die
tt6723592,Tenet
tt11286314,Don't Look Up
tt1160419,Dune: Part One
tt6710474,Everything Everywhere All at Once
tt9032400,Eternals
tt10872600,Spider-Man: No Way Home
tt12593682,Bullet Train
tt10648342,Thor: Love and Thunder
tt6264654,Free Guy
tt1630029,Avatar: The Way of Water
tt1745960,Top Gun: Maverick
tt6334354,The Suicide Squad
tt12361974,Zack Snyder's Justice League
tt9419884,Doctor Strange in the Multiverse of Madness
