userID,actorID
bobvanvleet73,nm0268199
bobsiakam82,nm0169806
dansiakam52,nm4456120
bobbarnes46,nm0000124
alicesiakam11,nm1176985
danwatanabe18,nm0000161
alicevanvleet32,nm0001570
frankanunoby10,nm2368789
danbarnes89,nm0001838
charliesiakam85,nm1209966
charlievanvleet87,nm3053338
bobsiakam82,nm3513533
frankanunoby10,nm0252230
charlievanvleet87,nm1093951
charliesiakam85,nm0000949
bobanunoby13,nm0534635
frankanunoby10,nm0702841
frankwatanabe18,nm3513533
frankbarnes27,nm0147147
frankwatanabe18,nm0757855
bobanunoby13,nm0149822
bobsiakam82,nm1069587
frankvanvleet88,nm0149822
charliesiakam85,nm0169806
evesiakam52,nm2368789
bobanunoby13,nm0941777
charlieanunoby10,nm0002332
bobvanvleet73,nm0000244
charliewatanabe59,nm0941777
frankvanvleet88,nm2244205
bobwatanabe67,nm3513533
bobsiakam82,nm0185819
alicebarnes94,nm1172478
charliesiakam85,nm1212722
bobwatanabe67,nm0000174
alicesiakam11,nm0757855
alicebarnes94,nm0000255
bobwatanabe67,nm2110418
danbarnes89,nm1209966
alicesiakam11,nm0938950
danbarnes89,nm0000288
bobvanvleet73,nm1785339
bobsiakam82,nm0000129
frankvanvleet88,nm0647634
alicebarnes94,nm3154303
frankvanvleet88,nm0451600
evebarnes87,nm1935086
frankwatanabe18,nm0534635
eveanunoby00,nm4456120
alicewatanabe87,nm1172478
bobsiakam82,nm3154303
charliebarnes18,nm1212722
franksiakam61,nm0268199
danwatanabe18,nm0000093
alicevanvleet32,nm0000204
charliesiakam85,nm0534635
danvanvleet27,nm4043618
alicevanvleet32,nm0942482
franksiakam61,nm1869101
alicevanvleet32,nm0000288
