userID,genreID
evesiakam52,g00
alicevanvleet32,g07
evewatanabe70,g03
alicevanvleet32,g00
charliewatanabe59,g02
charliebarnes18,g02
frankvanvleet88,g04
danvanvleet27,g02
frankvanvleet88,g00
dananunoby76,g00
evebarnes87,g00
charliewatanabe59,g04
franksiakam61,g05
dansiakam52,g06
bobanunoby13,g01
charlievanvleet87,g02
alicewatanabe87,g04
alicebarnes94,g04
evebarnes87,g04
evebarnes87,g06
danbarnes89,g06
alicesiakam11,g02
franksiakam61,g00
bobvanvleet73,g07
dansiakam52,g00
dananunoby76,g01
bobanunoby13,g00
charlieanunoby10,g02
frankvanvleet88,g03
frankanunoby10,g02
eveanunoby00,g05
frankanunoby10,g01
aliceanunoby46,g07
frankanunoby10,g06
charliesiakam85,g02
charliebarnes18,g07
danvanvleet27,g00
danwatanabe18,g01
evesiakam52,g03
franksiakam61,g07
bobwatanabe67,g05
bobanunoby13,g03
evewatanabe70,g04
danwatanabe18,g03
alicevanvleet32,g05
charlievanvleet87,g00
franksiakam61,g03
charliesiakam85,g00
eveanunoby00,g01
charlievanvleet87,g06
