movieID,actorID
tt10872600,nm4043618
tt10872600,nm3918035
tt10872600,nm1212722
tt10872600,nm8188622
tt1877830,nm1500155
tt1877830,nm2368789
tt1877830,nm0942482
tt1877830,nm0268199
tt1160419,nm3154303
tt1160419,nm0272581
tt1160419,nm3918035
tt1160419,nm1209966
tt1745960,nm0000129
tt1745960,nm0000124
tt1745960,nm1886602
tt1745960,nm0000174
tt10811166,nm0149822
tt10811166,nm0451600
tt10811166,nm1069587
tt10811166,nm0430809
tt11286314,nm0000138
tt11286314,nm2225369
tt11286314,nm0000658
tt11286314,nm0000949
tt6723592,nm0913475
tt6723592,nm1500155
tt6723592,nm4456120
tt6723592,nm1798449
tt6710474,nm0000706
tt6710474,nm3513533
tt6710474,nm0000130
tt6710474,nm0702841
tt9419884,nm1212722
tt9419884,nm0647634
tt9419884,nm0252230
tt9419884,nm0938950
tt2382320,nm0185819
tt2382320,nm1869101
tt2382320,nm1785339
tt2382320,nm2244205
tt12361974,nm0147147
tt12361974,nm0000255
tt12361974,nm2933757
tt12361974,nm0010736
tt9376612,nm4855517
tt9376612,nm5377144
tt9376612,nm0504897
tt9376612,nm0001426
tt1630029,nm0941777
tt1630029,nm0757855
tt1630029,nm0000244
tt1630029,nm0002332
tt3480822,nm0424060
tt3480822,nm6073955
tt3480822,nm1092086
tt3480822,nm0001838
tt11564570,nm0185819
tt11564570,nm0001570
tt11564570,nm0005028
tt11564570,nm1176985
tt6264654,nm0005351
tt6264654,nm3069650
tt6264654,nm0169806
tt6264654,nm2577076
tt6334354,nm3053338
tt6334354,nm0252961
tt6334354,nm1078479
tt6334354,nm1172478
tt10648342,nm1165110
tt10648342,nm0000204
tt10648342,nm0000288
tt10648342,nm1935086
tt12593682,nm0000093
tt12593682,nm1428821
tt12593682,nm1093951
tt12593682,nm3109964
tt9032400,nm2110418
tt9032400,nm0534635
tt9032400,nm0001401
tt9032400,nm0000161
